"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"Cre01.g003200" 8.96087 3.94398 4.83348 12.1435 4.20223 2.82519 4.45407 10.2462 10.8473 8.05199 2.43662 4.48372 1.88243 0.706894 6.41576 3.68008 4.23708 2.98104 14.1235 15.8521
"Cre01.g003250" 0.36755 0.494137 0.441081 0.384067 0.236777 0.331651 0.178779 0.402068 0.378623 0.390649 0.656924 0.310653 1.21453 0.812964 0.969311 1.13507 0.400523 0.658734 0.564765 0.508963
"Cre01.g003300" 0.0291104 0.0328097 0 0 0 0.0171304 0.016462 0.0236489 0.00866801 0.0342027 0.00903769 0.0596889 0 0 0 0 0 0 0 0
"Cre01.g003450" 5.00578 5.92026 5.60354 5.78079 2.44011 2.18825 3.16723 5.32413 5.47084 3.99248 3.8571 3.54355 4.49532 6.07237 5.5695 6.11004 4.86062 6.59658 5.83933 3.52678
"g80" 6.07574 5.67981 7.76058 6.21691 4.92609 3.23835 3.7714 6.36535 5.26407 6.12829 6.08331 8.24981 4.51085 4.49464 8.23753 13.0779 2.93741 6.32164 5.0346 4.65696
"g83" 3.487 2.02531 4.8691 3.01003 1.28084 1.39625 1.12633 1.12833 1.16541 1.20863 2.3895 2.16094 5.61103 5.35336 4.99151 9.13456 2.4526 3.20161 2.37803 2.09216
"Cre01.g003519" 3.50163 2.4863 13.5322 3.98321 3.73579 4.15767 3.63524 2.1845 1.09835 1.13002 3.52891 5.33091 10.474 7.56142 4.68229 10.2209 0 0.848394 2.23652 1.56622
"g85" 6.04864 6.6422 17.9742 6.58248 13.209 16.2552 12.1518 6.08046 5.44457 4.75198 7.50551 12.0773 15.2693 5.86059 10.1877 10.0191 3.53905 4.35602 5.08981 5.09937
"g87" 2.33233 2.32905 2.82832 1.92577 1.77096 1.71444 1.7701 1.57161 1.2173 1.00282 2.07918 1.83267 2.98114 1.42549 1.96378 2.06603 0.641655 1.2421 2.14486 1.45202
"g88" 0.291524 0.358297 0.0937251 0.306313 0.044628 0.0311869 0.00305771 0.0486605 0.156016 0.116984 0.0249714 0.00128694 0.185985 0.500713 0.25582 0.107967 0.551469 0.461919 0.0536831 0.0488746
