265102_at	AT1G30870
260875_at	AT1G21410
264938_at	AT1G60610
257670_at	AT3G20340
251191_at	AT3G62590
258125_s_at	 * 
266965_at	AT2G39510
245874_at	 * 
252859_at	AT4G39780
249881_at	AT5G23190
257088_at	AT3G20510
247229_at	AT5G65160
251863_at	AT3G54870
262043_at	AT1G80190
267265_at	AT2G22980
256537_at	AT1G33340
255129_at	AT4G08290
258414_at	AT3G17380
260926_at	AT1G21360
258832_at	AT3G07070
261156_s_at	 * 
262128_at	AT1G52690
260611_at	AT2G43670
254692_at	AT4G17860
250620_at	AT5G07190
262608_at	AT1G14120
246481_s_at	 * 
259282_at	AT3G11430
262414_at	AT1G49430
265111_at	AT1G62510
260758_at	AT1G48930
260297_at	AT1G80280
267121_at	AT2G23540
267436_at	AT2G19190
262526_at	AT1G17050
246252_s_at	 * 
257428_at	AT1G78990
262564_at	AT1G34330
262933_at	AT1G65840
249061_at	AT5G44550
245976_at	AT5G13080
253301_at	AT4G33720
256442_at	AT3G10930
253872_at	AT4G27410
267101_at	AT2G41480
251144_at	AT5G01210
249108_at	AT5G43690
253630_at	AT4G30490
248234_at	AT5G53850
261275_at	AT1G26700
257467_at	AT1G31320
253743_at	AT4G28940
260484_at	AT1G68360
265955_at	AT2G37280
251065_at	AT5G01870
249686_at	AT5G36140
260230_at	AT1G74500
265103_at	AT1G31070
245528_at	AT4G15530
245306_at	AT4G14690
253252_at	AT4G34740
267083_at	AT2G41100
258487_at	AT3G02550
263841_at	AT2G36870
263706_s_at	 * 
246617_at	AT5G36270
266995_at	AT2G34500
266946_at	AT2G18890
266693_at	AT2G19800
266462_at	AT2G47770
246922_at	AT5G25110
260143_at	AT1G71880
245254_at	AT4G14680
247360_at	AT5G63450
250246_at	AT5G13700
262301_at	AT1G70880
260337_at	AT1G69310
265722_at	AT2G40100
248183_at	AT5G54040
256368_at	AT1G66800
255687_at	AT4G00630
264348_at	AT1G12110
259751_at	AT1G71030
257794_at	AT3G27050
256300_at	AT1G69490
247024_at	AT5G66985
251103_at	AT5G01700
249705_at	AT5G35580
245089_at	AT2G45290
266403_at	AT2G38600
249928_at	AT5G22250
259370_at	AT1G69050
250633_at	AT5G07460
260161_at	AT1G79860
253353_at	AT4G33730
250907_at	AT5G03670
249348_at	 * 
260741_at	AT1G15040
259445_at	AT1G02400
248207_at	AT5G53970
258586_s_at	 * 
248728_at	AT5G48000
